hypothesis_hash,theme,partition,wf_test_period_sharpe,holdout_2022_passed,holdout_2024_passed,holdout_2024_filter_state,holdout_2022_total_trades,holdout_2024_total_trades,holdout_2022_sharpe,holdout_2024_sharpe
01f077141926ca19,momentum,audit_only,-0.094125,False,True,survivor_passed,26,24,0.1360599286363915,1.7118425497295136
031723666371b1aa,momentum,audit_only,-0.69585,False,True,survivor_passed,39,43,-1.9391144526956752,1.8471422165342615
03421cb3529a6029,calendar_effect,audit_only,0.194439,False,False,survivor_failed,30,22,-0.5043670151111798,-0.13735228051778012
0381f071b457bc86,momentum,audit_only,-1.813317,False,True,survivor_passed,62,84,-1.1629942263804884,1.1595846160740184
06c3b4a2f7ff8338,mean_reversion,primary,1.143855,False,False,excluded,1,0,0.7113271652208213,0.0
072ec63b80f53ba1,mean_reversion,audit_only,0.0,False,False,excluded,0,0,0.0,0.0
0845d1d7898412f2,volume_divergence,audit_only,-0.071638,True,True,survivor_passed,19,23,0.5081590272487263,1.0528598543824546
089107e7226d162a,momentum,audit_only,-0.900312,False,True,excluded,18,18,-0.7217565104648225,2.3300421836157312
09d511fb4e786ed2,volatility_regime,audit_only,0.0,False,False,excluded,0,0,0.0,0.0
09efaaf58f9630f5,volatility_regime,audit_only,0.107856,False,True,survivor_passed,82,97,-1.1851199330489977,0.22867514225343347
0a4ab3ea59a242b7,calendar_effect,audit_only,0.113744,False,True,survivor_passed,49,50,-0.44020252605063215,1.2892459079275485
0bf34de1eeb57782,volume_divergence,primary,2.789089,False,False,excluded,2,3,-1.5631646179802041,1.1830349339462076
0c83568d7037d1a3,momentum,audit_only,-0.879004,False,False,survivor_failed,70,59,-1.602110021909669,1.6874316506124254
0da08a1f8a7130ce,momentum,audit_only,-1.412342,False,False,survivor_failed,78,75,-1.2511737108239473,0.6828375284209836
0e2dc353833de320,volatility_regime,audit_only,-0.769476,False,False,survivor_failed,162,142,-2.6517933307202797,-0.18094824480678648
0e926e65350cdd51,mean_reversion,primary,1.028426,False,True,survivor_passed,122,111,-1.3027635101228927,0.6335521208966282
1042a23b008a1b28,calendar_effect,audit_only,0.455679,False,True,survivor_passed,36,29,-1.0376054415658509,0.9342452622910121
10bc410920945653,volatility_regime,audit_only,0.030277,False,False,excluded,0,0,0.0,0.0
11aac8a4ad58f803,mean_reversion,audit_only,0.289952,False,True,survivor_passed,77,76,-1.1790990757829134,0.45366325615701547
128aa2c137b15437,momentum,audit_only,-0.330541,False,True,survivor_passed,140,154,-1.2518860626714283,0.646566894751657
1290b6494ec0ba43,volume_divergence,audit_only,0.197742,False,True,survivor_passed,60,61,-1.6339486843214557,2.144842028810005
138c8bbe9f979a64,calendar_effect,primary,1.023064,False,True,excluded,14,11,-0.43877102803841583,0.3748108873577448
1433c0ffda419418,volatility_regime,audit_only,0.0,False,False,excluded,0,0,0.0,0.0
174a520db2521d1c,momentum,audit_only,-0.833279,False,True,survivor_passed,48,62,-0.789929374733588,0.9561567788687928
