# diagnostic; NON-AUTHORITATIVE; measurement inconclusive on sparse cohort; verdict invariant (0/18, SE-independent)
hypothesis_hash,name,theme,T,nonzero_count,zero_fraction,sr_per_bar,sr_star_B,excess,skip_L1,skip_L6,skip_L12,skip_L24,skip_L48,skip_L96
18d92ce5d0b40cc7,bollinger_zscore_reversion,mean_reversion,2479,360,0.854780153287616,-0.01593384703260254,0.037241689588594196,-0.053175536621196735,0.0,0.0,0.0,0.0,0.0,0.0
22864f01a49e3452,weekend_volatility_compression_breakout,calendar_effect,2502,170,0.9320543565147882,0.007677919377586673,0.03707005079096752,-0.02939213141338085,0.0,0.0,0.0,0.0,0.0,0.0002
2433a38b2f9a7211,volume_surge_breakout_divergence,volume_divergence,2491,298,0.8803693295865115,0.011823775032865469,0.03715184219693113,-0.02532806716406566,0.0,0.0,0.0,0.0,0.0,0.0
2cc19d1b5e2c9024,weekday_momentum_friday_fade,calendar_effect,2503,259,0.8965241709948062,-0.015214379100332237,0.03706264196691212,-0.052277021067244356,0.0,0.0,0.0,0.0,0.0,0.0002
3ebec90d7be309ab,volume_surge_low_momentum_divergence,volume_divergence,2478,159,0.9358353510895884,0.0037610399535316008,0.037249206328924776,-0.033488166375393175,0.0,0.0,0.0,0.0,0.0,0.0
4a3c8e2fe04d72c1,momentum_exhaustion_rsi_macd_reversal,momentum,2491,227,0.9088719389803291,-0.0002174716959213668,0.03715184219693113,-0.037369313892852495,0.0,0.0,0.0,0.0,0.0,0.0
53e1b5030aefe836,triple_ema_momentum_convergence,momentum,2477,317,0.8720226079935406,-0.03781257754279049,0.03725672762255599,-0.07506930516534649,0.0,0.0,0.0,0.0,0.0,0.0
54ae22768a3f78e9,volume_divergence_reversal,volume_divergence,2478,77,0.9689265536723164,-0.01821621787309978,0.037249206328924776,-0.055465424202024556,0.0,0.0,0.0,0.001,0.0022,0.0062
5fcf29ab42c5f8b6,volume_divergence_momentum_fade,volume_divergence,2503,758,0.6971634039153016,-0.027142180599950837,0.03706264196691212,-0.06420482256686295,0.0,0.0,0.0,0.0,0.0,0.0
7240602b60cd7271,triple_ema_momentum_surge,momentum,2477,54,0.9781994348001615,-0.035265766108398114,0.03725672762255599,-0.0725224937309541,0.0,0.0,0.0002,0.0006,0.0014,0.0008
7abff29fc2f117a1,ema_crossover_momentum_acceleration,momentum,2491,266,0.8932155760738659,0.03271539206953109,0.03715184219693113,-0.0044364501274000365,0.0,0.0,0.0,0.0,0.0,0.0
8def2951c72f0961,momentum_continuation_crossover_196,momentum,2477,509,0.7945094872830036,0.0007436222225053513,0.03725672762255599,-0.036513105400050636,0.0,0.0,0.0,0.0,0.0,0.0
9c90efe879157a5c,bollinger_extreme_zscore_reversal,mean_reversion,2479,376,0.8483259378781767,-0.029389413366529938,0.037241689588594196,-0.06663110295512413,0.0,0.0,0.0,0.0,0.0,0.0
aa8c55c16db41ea7,volume_surge_momentum_confirmation,volume_divergence,2503,555,0.7782660807031562,0.0007460769573564701,0.03706264196691212,-0.03631656500955565,0.0,0.0,0.0,0.0,0.0,0.0
b10f4563366481b3,friday_close_weekend_positioning,calendar_effect,2503,279,0.8885337594886137,-0.03750256377407023,0.03706264196691212,-0.07456520574098235,0.0,0.0,0.0,0.0,0.0,0.0
b24ca51d477c2e96,macd_rsi_momentum_alignment,momentum,2477,108,0.9563988696003229,-0.0019102656591761837,0.03725672762255599,-0.039166993281732176,0.0,0.0,0.0,0.0,0.0,0.0
cfd24b8b72d6e429,volume_divergence_surge_entry,volume_divergence,2492,94,0.9622792937399679,0.0021177014845376934,0.03714438423395386,-0.035026682749416164,0.0,0.0,0.0,0.0,0.0,0.0
dc7d6de5e71772ae,low_volatility_breakout_198,volatility_regime,2491,349,0.8598956242472903,-0.012308496772650205,0.03715184219693113,-0.04946033896958133,0.0,0.0,0.0,0.0,0.0,0.0
