batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
355a8f9f-2a1f-435d-a1a8-c365b92e185b,1,29410618182e84f8,momentum_macd_cross_mean_reversion,momentum,macd_hist;zscore_48,ok,ok,-0.465073,-0.039845,0.220931,82,0.378049,4,3.103,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,2,143005f3b6df68e8,bb_reversion_rsi_oversold,mean_reversion,bb_upper_24_2;close;rsi_14;zscore_48,ok,ok,0.536821,0.044347,0.285722,80,0.662500,4,3.102,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,3,9b251749dbda286a,volatility_breakout_atr_expansion,volatility_regime,atr_14;close;realized_vol_24h;sma_20,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.079,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,4,cde6ff33683ac466,volume_surge_momentum_divergence,volume_divergence,close;macd_hist;sma_20;volume_zscore_24h,ok,ok,0.059769,-0.006472,0.202419,41,0.463415,4,3.124,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,5,6fe8a1f623777d39,monday_morning_reversion,calendar_effect,day_of_week;hour_of_day;return_1h;return_24h;rsi_14,ok,ok,-0.206880,-0.020482,0.116130,15,0.666667,4,3.098,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,6,53e1b5030aefe836,triple_ema_momentum_convergence,momentum,ema_12;ema_26;macd_hist;rsi_14;sma_50,ok,ok,-0.688907,-0.016244,0.136850,31,0.290323,4,3.161,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,7,65f32d8477eab09f,bollinger_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;return_168h;rsi_14;zscore_48,ok,ok,1.745777,0.164308,0.271859,66,0.742424,4,3.135,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,8,b0ee7da823d99331,volatility_contraction_breakout,volatility_regime,atr_14;close;realized_vol_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,1.238918,0.189819,0.321478,17,0.470588,4,3.164,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,9,5cf8eff1d9ed5c3a,volume_surge_momentum_divergence,volume_divergence,return_168h;return_24h;rsi_14;volume_zscore_24h,ok,ok,-0.423840,-0.034841,0.183869,45,0.555556,4,3.131,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,10,33c6adfcc24704ac,monday_dip_reversal,calendar_effect,day_of_week;return_24h;rsi_14;zscore_48,ok,ok,-0.381319,-0.035962,0.192322,30,0.500000,4,3.139,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,11,d4954da6e41b6af2,macd_histogram_acceleration,momentum,close;macd_hist;return_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,-0.255787,-0.017603,0.127394,99,0.414141,4,3.193,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,12,df2c99e0785f1371,bollinger_oversold_mean_reversion,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.143,
