batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
49682edb-9493-4c69-bf67-2f32c22d3864,1,9019f59911097562,momentum_macd_breakout,momentum,macd_hist,ok,ok,0.446626,0.081421,0.346783,331,0.353474,4,5.483,
49682edb-9493-4c69-bf67-2f32c22d3864,2,fe3d62245fbeff35,bb_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;sma_24,ok,ok,-0.261656,-0.071767,0.422186,496,0.760081,4,5.466,
49682edb-9493-4c69-bf67-2f32c22d3864,3,856def78c4256908,low_vol_regime_trend_follow,volatility_regime,close;realized_vol_24h;sma_50;zscore_48,ok,ok,0.920222,0.171039,0.328800,298,0.221477,4,5.402,
49682edb-9493-4c69-bf67-2f32c22d3864,4,123b2618f97d9fda,volume_divergence_breakout,volume_divergence,close;sma_20;volume_zscore_24h,ok,ok,-0.043391,-0.002216,0.122367,34,0.500000,4,5.375,
49682edb-9493-4c69-bf67-2f32c22d3864,5,3c939928c751a956,monday_dip_buying,calendar_effect,day_of_week;rsi_14,ok,ok,-1.001989,-0.084164,0.258782,50,0.600000,4,5.330,
49682edb-9493-4c69-bf67-2f32c22d3864,6,cdf0e4c8b1bd8632,macd_momentum_reversal,momentum,macd_hist;rsi_14,ok,ok,0.198122,0.067181,0.340831,314,0.347134,4,5.535,
49682edb-9493-4c69-bf67-2f32c22d3864,7,5db67e1a11575b5e,bb_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;rsi_14;sma_24;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.357,
49682edb-9493-4c69-bf67-2f32c22d3864,8,af845dfbc628c5d9,vol_expansion_breakout,volatility_regime,close;realized_vol_24h;sma_20;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.372,
49682edb-9493-4c69-bf67-2f32c22d3864,9,5bc3697383b11d6c,volume_divergence_momentum,volume_divergence,return_168h;rsi_14;volume_zscore_24h,ok,ok,-0.262620,-0.001207,0.205080,120,0.516667,4,5.417,
49682edb-9493-4c69-bf67-2f32c22d3864,10,d0d75ccd87b80e1e,monday_morning_reversal,calendar_effect,day_of_week;hour_of_day;return_24h;rsi_14,ok,ok,-0.423648,-0.038904,0.214973,17,0.529412,4,5.357,
49682edb-9493-4c69-bf67-2f32c22d3864,11,a602eff333694830,macd_momentum_surge,momentum,macd_hist;return_24h;volume_zscore_24h,ok,ok,0.244220,0.009323,0.100697,45,0.377778,4,5.341,
49682edb-9493-4c69-bf67-2f32c22d3864,12,1577753daecac1c5,bb_oversold_mean_reversion,mean_reversion,bb_upper_24_2;close;realized_vol_24h;sma_24;zscore_48,ok,ok,1.554581,0.176738,0.115941,18,0.833333,4,5.362,
49682edb-9493-4c69-bf67-2f32c22d3864,13,6f6d50742370a832,low_vol_breakout_filter,volatility_regime,close;macd_hist;realized_vol_24h;sma_50,ok,ok,0.004473,-0.013645,0.230041,147,0.204082,4,5.410,
49682edb-9493-4c69-bf67-2f32c22d3864,14,0f063a2c79e7a558,volume_divergence_reversal,volume_divergence,close;return_168h;rsi_14;sma_24;volume_zscore_24h,ok,ok,-0.610950,-0.042925,0.166588,45,0.444444,4,5.390,
49682edb-9493-4c69-bf67-2f32c22d3864,15,19bae29bf2be08c7,monday_oversold_recovery,calendar_effect,close;day_of_week;rsi_14;sma_20,ok,ok,-1.289486,-0.083558,0.161344,37,0.540541,4,5.371,
49682edb-9493-4c69-bf67-2f32c22d3864,16,e232778fb94fa57a,momentum_acceleration_regime,momentum,macd_hist;return_24h;rsi_14,ok,ok,-1.159085,-0.033178,0.117667,54,0.314815,4,5.368,
49682edb-9493-4c69-bf67-2f32c22d3864,17,491fe88727291a48,bollinger_mean_reversion,mean_reversion,bb_upper_24_2;close;rsi_14;zscore_48,ok,ok,0.470417,0.028801,0.249025,92,0.695652,4,5.382,
49682edb-9493-4c69-bf67-2f32c22d3864,18,cef6aac13f9f24e8,volatility_compression_breakout,volatility_regime,close;realized_vol_24h;rsi_14;sma_50,ok,ok,-0.456019,-0.062652,0.282771,219,0.191781,4,5.422,
49682edb-9493-4c69-bf67-2f32c22d3864,19,4f51d80004b3d289,volume_surge_momentum_confirmation,volume_divergence,macd_hist;return_24h;rsi_14;volume_zscore_24h,ok,ok,1.311278,0.081837,0.137438,117,0.495726,4,5.360,
49682edb-9493-4c69-bf67-2f32c22d3864,20,97e1863dc8e00b7b,weekday_momentum_continuation,calendar_effect,close;day_of_week;macd_hist;return_24h;sma_20,ok,ok,0.385928,0.064336,0.269358,83,0.433735,4,5.404,
49682edb-9493-4c69-bf67-2f32c22d3864,21,3d5dbdc151103fe0,momentum_exhaustion_reversal,momentum,macd_hist;return_168h;return_24h;rsi_14,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.334,
49682edb-9493-4c69-bf67-2f32c22d3864,22,9eae2c6c769241a5,bollinger_oversold_bounce,mean_reversion,bb_upper_24_2;close;return_1h;rsi_14;zscore_48,ok,ok,0.187482,-0.020487,0.281889,68,0.661765,4,5.400,
49682edb-9493-4c69-bf67-2f32c22d3864,23,dee5c80bc3544465,low_vol_breakout_continuation,volatility_regime,close;macd_hist;realized_vol_24h;return_24h;sma_20;sma_50,ok,ok,-0.801946,-0.108462,0.473626,44,0.431818,4,5.389,
49682edb-9493-4c69-bf67-2f32c22d3864,24,2a1a76e93cfdc545,volume_spike_momentum_fade,volume_divergence,macd_hist;return_24h;rsi_14;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.334,
49682edb-9493-4c69-bf67-2f32c22d3864,25,71ba7b3edb07990d,monday_dip_buying,calendar_effect,close;day_of_week;return_24h;rsi_14;sma_20,ok,ok,-0.670134,-0.045331,0.165718,30,0.466667,4,5.383,
49682edb-9493-4c69-bf67-2f32c22d3864,26,ce2902898e0d2ce7,macd_rsi_momentum_surge,momentum,macd_hist;return_24h;rsi_14,ok,ok,-1.321094,-0.111583,0.321051,53,0.528302,4,5.361,
49682edb-9493-4c69-bf67-2f32c22d3864,27,8b03687290f428d9,bollinger_bounce_oversold_mean_reversion,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;zscore_48,ok,ok,0.790828,0.055052,0.249057,103,0.708738,4,5.405,
49682edb-9493-4c69-bf67-2f32c22d3864,28,740e6b4d2fd7ffb5,low_vol_breakout_above_50sma,volatility_regime,close;realized_vol_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,-0.456248,-0.052406,0.296162,49,0.326531,4,5.580,
49682edb-9493-4c69-bf67-2f32c22d3864,29,92fa4eabe697edef,volume_divergence_oversold_reversal,volume_divergence,return_24h;rsi_14;volume_zscore_24h;zscore_48,ok,ok,-0.636613,-0.063476,0.241338,77,0.584416,4,5.389,
49682edb-9493-4c69-bf67-2f32c22d3864,30,c1f4b369d5d3f33e,monday_momentum_follow,calendar_effect,close;day_of_week;return_168h;rsi_14;sma_20,ok,ok,0.215533,0.027827,0.238940,31,0.451613,4,5.377,
49682edb-9493-4c69-bf67-2f32c22d3864,31,4e25c8ce09bca1ed,macd_hist_momentum_surge,momentum,macd_hist;return_24h;rsi_14;volume_zscore_24h,ok,ok,0.774848,0.032143,0.088944,72,0.388889,4,5.374,
49682edb-9493-4c69-bf67-2f32c22d3864,32,f37d2f78db92d375,bb_squeeze_mean_reversion_long,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;zscore_48,ok,ok,0.233579,-0.002975,0.282043,89,0.606742,4,5.434,
49682edb-9493-4c69-bf67-2f32c22d3864,33,8b98cbf9c559d60f,low_vol_breakout_continuation,volatility_regime,close;macd_hist;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,0.150994,-0.010600,0.440986,54,0.407407,4,5.409,
