batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
4f894318-eb69-48b5-95ef-e22abe3ecdd1,1,390f867036b2282d,momentum_breakout_rsi_regime,momentum,close;macd_hist;rsi_14;sma_50,ok,ok,-0.378559,-0.021077,0.219609,70,0.400000,4,3.145,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,2,e70d021f56009f63,mean_reversion_bbands_oversold,mean_reversion,bb_upper_24_2;close;rsi_14;sma_24;zscore_48,ok,ok,0.115780,-0.015187,0.257351,90,0.611111,4,3.094,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,3,8a3a78f0692f06f2,low_vol_breakout_compression,volatility_regime,atr_14;close;realized_vol_24h;sma_20;volume_zscore_24h,ok,ok,0.911556,0.126955,0.526530,41,0.463415,4,3.126,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,4,12a8ec85d320d9b4,volume_divergence_momentum_fade,volume_divergence,close;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.033959,0.000037,0.373927,77,0.402597,4,3.104,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,5,2575c54731d25ad2,weekend_effect_vol_compression,calendar_effect,day_of_week;realized_vol_24h;return_24h;rsi_14;volume_zscore_24h,ok,ok,1.318271,0.135919,0.369301,52,0.557692,4,3.129,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,6,05128e0a2c6a1164,macd_rsi_momentum_convergence,momentum,macd_hist;return_24h;rsi_14,ok,ok,-0.154677,-0.007908,0.193739,33,0.454545,4,3.117,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,7,20c470b72bc3ddff,bollinger_squeeze_mean_revert,mean_reversion,bb_upper_24_2;close;realized_vol_24h;rsi_14;sma_24;zscore_48,ok,ok,2.050056,0.297308,0.337360,91,0.659341,4,3.134,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,8,d37d8ffdee7817a3,vol_regime_shift_early_entry,volatility_regime,close;realized_vol_24h;return_24h;rsi_14;sma_20;zscore_48,ok,ok,0.387404,0.085208,0.552269,55,0.490909,4,3.155,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,9,df5818718004ea40,volume_surge_price_consolidation,volume_divergence,close;return_24h;sma_50;volume_zscore_24h;zscore_48,ok,ok,-1.065309,-0.080853,0.256024,13,0.461538,4,3.112,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,10,1880ce653e804a33,weekday_momentum_continuation,calendar_effect,day_of_week;return_1h;return_24h;rsi_14,ok,ok,-0.180387,-0.018225,0.310353,70,0.400000,4,3.126,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,11,c3dfc99ef0c624c6,macd_hist_momentum_reversal,momentum,macd_hist;return_1h;return_24h;rsi_14,ok,ok,0.565088,0.106239,0.394516,83,0.457831,4,3.149,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,12,8f34f32708667049,bb_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;return_1h;return_24h;rsi_14;zscore_48,ok,ok,1.091657,0.083482,0.326642,96,0.666667,4,3.147,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,13,446f52fb7596b6be,low_vol_ema_crossover,volatility_regime,ema_12;ema_26;realized_vol_24h;return_1h;return_24h;rsi_14,ok,ok,-0.474843,-0.047731,0.461607,55,0.381818,4,3.163,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,14,7d261364cdd8e38c,volume_surge_breakout,volume_divergence,close;macd_hist;return_1h;rsi_14;sma_20;volume_zscore_24h,ok,ok,0.193355,0.021643,0.244524,100,0.430000,4,3.148,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,15,4ae79f2b39fd6dc4,monday_morning_reversal,calendar_effect,close;day_of_week;hour_of_day;return_24h;rsi_14;sma_20,ok,ok,-0.694839,-0.047532,0.213234,23,0.478261,4,3.145,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,16,5a2830217f87f3b0,macd_momentum_surge,momentum,close;macd_hist;return_1h;return_24h;rsi_14;sma_50,ok,ok,-0.779466,-0.064541,0.302852,45,0.266667,4,3.177,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,17,707873d073bb037b,bollinger_mean_reversion,mean_reversion,bb_upper_24_2;close;return_1h;return_24h;rsi_14;sma_24;zscore_48,ok,ok,1.004694,0.098983,0.234430,97,0.649485,4,3.175,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,18,5ad92dbe621884d5,volatility_compression_breakout,volatility_regime,atr_14;bb_upper_24_2;close;realized_vol_24h;return_1h;zscore_48,ok,ok,0.651615,0.155008,0.567578,32,0.562500,4,3.156,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,19,2e98fff9727b9102,volume_divergence_reversal,volume_divergence,close;return_1h;return_24h;rsi_14;sma_20;sma_50;volume_zscore_24h,ok,ok,-0.128659,-0.006608,0.349306,71,0.394366,4,3.169,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,20,ef5351ef1376d378,weekend_volatility_fade,calendar_effect,day_of_week;hour_of_day;realized_vol_24h;return_1h;rsi_14,ok,ok,-0.906070,-0.021534,0.102889,1,0.000000,4,3.142,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,21,9da3495dfa69b0de,macd_momentum_surge,momentum,close;ema_12;ema_26;macd_hist;return_1h;rsi_14,ok,ok,-0.582438,-0.089667,0.376023,84,0.369048,4,3.204,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,22,312fec0f59808c33,bb_overextension_reversion,mean_reversion,bb_upper_24_2;close;macd_hist;realized_vol_24h;return_1h;rsi_14;sma_24,ok,ok,-0.251841,-0.007301,0.079529,1,0.000000,4,3.153,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,23,9f6c3e96e974fe83,vol_regime_shift_breakout,volatility_regime,close;ema_12;ema_26;macd_hist;realized_vol_24h;rsi_14;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.153,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,24,bd7ec849e91f204c,volume_divergence_breakout,volume_divergence,close;macd_hist;return_1h;rsi_14;sma_20;sma_50;volume_zscore_24h,ok,ok,0.350761,-0.032122,0.327770,31,0.419355,4,3.154,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,25,383b02e826fc3baa,monday_momentum_fade,calendar_effect,close;day_of_week;ema_26;hour_of_day;macd_hist;return_168h;return_24h;rsi_14,ok,ok,0.277423,0.004053,0.085769,8,0.625000,4,3.157,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,26,c4a12d52c7ba241d,macd_rsi_momentum_surge,momentum,close;ema_12;ema_26;macd_hist;return_1h;return_24h;rsi_14,ok,ok,-1.206081,-0.109174,0.377400,45,0.288889,4,3.172,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,27,3c650cab3887080b,bollinger_reversal_oversold,mean_reversion,bb_upper_24_2;close;macd_hist;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.609469,0.061244,0.229945,82,0.646341,4,3.202,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,28,c352719c3ac2aade,low_vol_breakout_surge,volatility_regime,close;ema_12;macd_hist;realized_vol_24h;return_24h;sma_20;volume_zscore_24h,ok,ok,-0.129594,-0.041788,0.331650,42,0.547619,4,3.171,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,29,b475b370777520c9,volume_divergence_momentum,volume_divergence,close;ema_12;macd_hist;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-1.244356,-0.094949,0.239230,89,0.337079,4,3.197,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,30,2845bf8eeb2515a7,monday_mean_reversion,calendar_effect,close;day_of_week;ema_26;return_24h;rsi_14;sma_50,ok,ok,0.288885,0.015089,0.227850,26,0.615385,4,3.159,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,31,a3e60c08859dfb8e,macd_rsi_momentum_surge,momentum,close;ema_12;ema_26;macd_hist;return_24h;rsi_14,ok,ok,-0.865258,-0.093397,0.373797,61,0.311475,4,3.190,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,32,18d92ce5d0b40cc7,bollinger_zscore_reversion,mean_reversion,bb_upper_24_2;close;macd_hist;return_24h;rsi_14;sma_24;zscore_48,ok,ok,1.141160,0.116704,0.145535,73,0.438356,4,3.220,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,33,89f18ff310c49858,low_vol_breakout_expansion,volatility_regime,close;ema_26;macd_hist;realized_vol_24h;rsi_14;sma_50,ok,ok,0.824513,0.117692,0.413311,41,0.487805,4,3.178,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,34,12e30edaf44a29a3,volume_divergence_momentum_fade,volume_divergence,close;macd_hist;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.749081,-0.083127,0.263535,99,0.373737,4,3.185,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,35,9e69f0931a485e9e,monday_oversold_bounce,calendar_effect,close;day_of_week;macd_hist;return_24h;rsi_14;sma_20,ok,ok,-0.595566,-0.071661,0.217284,35,0.428571,4,3.176,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,36,a1d46f1ce16b598e,macd_histogram_expansion_momentum,momentum,bb_upper_24_2;close;ema_12;macd_hist;rsi_14;volume_zscore_24h,ok,ok,-0.447872,-0.061655,0.343804,77,0.467532,4,3.166,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,37,64e9e18111451390,bollinger_squeeze_reversion,mean_reversion,atr_14;bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.200,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,38,60381f6eea0479f3,low_vol_ema_crossover_momentum,volatility_regime,atr_14;ema_12;ema_26;realized_vol_24h;return_24h;rsi_14;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.173,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,39,988cc152cf303909,volume_surge_without_price_follow,volume_divergence,close;ema_12;return_24h;rsi_14;volume_zscore_24h,ok,ok,-1.358157,-0.096802,0.233363,87,0.402299,4,3.162,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,40,db8a9693eef4e4e1,monday_morning_momentum_fade,calendar_effect,day_of_week;hour_of_day;return_168h;return_1h;return_24h;rsi_14,ok,ok,1.311223,0.030064,0.191397,14,0.642857,4,3.176,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,41,e942e6cf33c075fe,macd_histogram_reversal_momentum,momentum,macd_hist;return_24h;rsi_14;volume_zscore_24h,ok,ok,1.119022,0.018183,0.085895,5,0.800000,4,3.170,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,42,d0385a1ab83b1ea7,bollinger_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.569551,0.044726,0.257968,103,0.669903,4,3.226,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,43,897ab60550f4096f,volatility_expansion_momentum_entry,volatility_regime,close;ema_12;macd_hist;realized_vol_24h;return_24h;rsi_14;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.173,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,44,204a2c24680f22f8,volume_divergence_breakout_confirmation,volume_divergence,close;return_1h;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.167,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,45,5c6fff0cd5247893,monday_volatility_expansion_entry,calendar_effect,day_of_week;realized_vol_24h;return_168h;return_24h;rsi_14,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.159,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,46,68fe158d84a718d0,macd_momentum_reversal_fade,momentum,close;macd_hist;return_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,-0.650123,-0.061127,0.222157,65,0.384615,4,3.184,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,47,26c5eb916447cd97,bb_overextension_reversion,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;sma_24;volume_zscore_24h,ok,ok,0.638374,0.037532,0.228003,66,0.454545,4,3.196,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,48,a2fcfd0133f502f9,vol_compression_breakout_long,volatility_regime,atr_14;close;realized_vol_24h;return_24h;rsi_14;sma_20;sma_50,ok,ok,0.641402,0.091689,0.466780,113,0.362832,4,3.248,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,49,51c6eeaa6852b3bd,volume_divergence_momentum_fade,volume_divergence,close;macd_hist;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.589930,-0.043294,0.421043,97,0.402062,4,3.195,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,50,56adbbd2e310f111,weekend_vol_suppression_long,calendar_effect,close;day_of_week;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,-0.617357,-0.047496,0.261106,49,0.387755,4,3.192,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,51,c1514cf23ec1e226,macd_acceleration_momentum_ride,momentum,close;ema_12;macd_hist;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,-1.649008,-0.199655,0.411400,49,0.285714,4,3.192,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,52,fa04fa6753ca404a,bb_oversold_vol_spike_reversal,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.165,
4f894318-eb69-48b5-95ef-e22abe3ecdd1,53,d4e674b1897a4cb7,vol_regime_shift_breakout,volatility_regime,close;macd_hist;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.197,
