batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
71d42a07-d88f-431a-a653-601010cf1921,1,5396c991f3ccf3a9,momentum_rsi_oversold_reversal,momentum,rsi_14,ok,ok,0.258947,0.017003,0.432361,97,0.618557,4,3.062,
71d42a07-d88f-431a-a653-601010cf1921,2,749966fa46d835fa,bb_lower_reversion_with_vol,mean_reversion,bb_upper_24_2;close;realized_vol_24h;sma_24;zscore_48,ok,ok,0.625789,0.043576,0.115958,4,0.750000,4,3.062,
71d42a07-d88f-431a-a653-601010cf1921,3,714d579147a3cb49,vol_regime_shift_breakout,volatility_regime,atr_14;close;realized_vol_24h;return_24h;sma_20,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.078,
71d42a07-d88f-431a-a653-601010cf1921,4,16862831f873e947,volume_surge_momentum_entry,volume_divergence,close;ema_12;return_24h;volume_zscore_24h,ok,ok,-1.315565,-0.102152,0.456598,122,0.393443,4,3.093,
71d42a07-d88f-431a-a653-601010cf1921,5,07067196848fb667,weekend_mean_reversion_volatility,calendar_effect,close;day_of_week;realized_vol_24h;rsi_14;sma_20;sma_50,ok,ok,0.152813,0.004906,0.067829,1,1.000000,4,3.084,
71d42a07-d88f-431a-a653-601010cf1921,6,7f7e34382afbf32f,macd_histogram_momentum_acceleration,momentum,close;ema_12;macd_hist;return_24h,ok,ok,0.616775,0.051995,0.340038,116,0.344828,4,3.131,
71d42a07-d88f-431a-a653-601010cf1921,7,edb301d288011197,bollinger_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.206314,0.001690,0.221813,84,0.630952,4,3.141,
71d42a07-d88f-431a-a653-601010cf1921,8,2ff95d8d5a520869,low_volatility_breakout_entry,volatility_regime,atr_14;close;ema_12;ema_26;realized_vol_24h;return_24h,ok,ok,0.084114,-0.022627,0.564323,29,0.517241,4,3.117,
71d42a07-d88f-431a-a653-601010cf1921,9,d23fda6363e8224a,volume_divergence_momentum_surge,volume_divergence,close;ema_12;ema_26;return_24h;rsi_14;volume_zscore_24h,ok,ok,-1.348665,-0.128237,0.350404,99,0.404040,4,3.134,
71d42a07-d88f-431a-a653-601010cf1921,10,07481ff76d650595,monday_oversold_reversal,calendar_effect,close;day_of_week;ema_12;return_24h;rsi_14;sma_20,ok,ok,-0.056958,-0.050285,0.328698,29,0.482759,4,3.121,
71d42a07-d88f-431a-a653-601010cf1921,11,ba2ed8b84c9460ed,macd_histogram_momentum_acceleration,momentum,close;ema_12;ema_26;macd_hist;return_24h;rsi_14,ok,ok,0.151612,0.047357,0.420716,50,0.560000,4,3.192,
71d42a07-d88f-431a-a653-601010cf1921,12,73a2eae76aa75482,bollinger_overshoot_mean_reversion,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;sma_24,ok,ok,0.988555,0.078299,0.251289,90,0.455556,4,3.135,
