batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,1,ea15a34402e5af94,momentum_rsi_oversold_reversal,momentum,return_1h;rsi_14,ok,ok,-0.477586,-0.091255,0.435247,79,0.582278,4,5.520,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,2,3d37f594a5fe49b2,bb_mean_reversion_spike,mean_reversion,bb_upper_24_2;close;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.412,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,3,d66014dd96672082,vol_regime_breakout_cross,volatility_regime,close;macd_hist;realized_vol_24h;sma_20,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.412,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,4,8f051a6f600fe652,volume_divergence_momentum_fade,volume_divergence,macd_hist;return_1h;return_24h;volume_zscore_24h,ok,ok,-0.804705,-0.065980,0.304934,58,0.344828,4,5.412,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,5,cf680a6547c8565d,monday_weakness_reversal,calendar_effect,day_of_week;return_1h;return_24h;rsi_14,ok,ok,-0.249984,-0.046275,0.227402,26,0.538462,4,5.658,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,6,1d8b3e60c10dc996,triple_momentum_alignment_breakout,multi_factor_combination,ema_12;ema_26;macd_hist;return_168h;return_1h;return_24h,ok,ok,-0.337399,-0.033784,0.232593,193,0.336788,4,5.490,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,7,0265582640c6837b,momentum_acceleration_with_volatility_confirmation,momentum,macd_hist;realized_vol_24h;return_1h;return_24h,ok,ok,1.175087,0.036749,0.043639,10,0.600000,4,5.421,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,8,f91c19522bcf0281,bollinger_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;realized_vol_24h;rsi_14;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.482,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,9,32694f3f5f17c8df,volatility_expansion_regime_shift,volatility_regime,atr_14;macd_hist;realized_vol_24h;return_1h;return_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,6.592,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,10,a94abacef95d08b2,volume_surge_momentum_divergence,volume_divergence,macd_hist;return_1h;return_24h;rsi_14;volume_zscore_24h,ok,ok,-0.617496,-0.073376,0.345187,85,0.447059,4,6.072,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,11,f0b51620f632f015,weekend_volatility_contraction_fade,calendar_effect,day_of_week;realized_vol_24h;return_1h;return_24h;rsi_14,ok,ok,0.189201,-0.011296,0.306854,44,0.477273,4,5.955,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,12,8e82bc4539b89489,multi_timeframe_momentum_alignment,multi_factor_combination,ema_12;macd_hist;return_168h;return_1h;return_24h;rsi_14;sma_20,ok,ok,0.503070,0.020958,0.093701,23,0.391304,4,5.586,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,13,9c7a795c0970998a,momentum_continuation_oversold_reversal,momentum,close;macd_hist;return_1h;return_24h;rsi_14;sma_50,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.539,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,14,b4e9ab4d7aa23865,bollinger_mean_reversion_oversold,mean_reversion,bb_upper_24_2;close;rsi_14;volume_zscore_24h;zscore_48,ok,ok,0.791091,0.078650,0.267241,74,0.702703,4,5.543,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,15,d1493902ce1c0e27,low_volatility_breakout_entry,volatility_regime,close;macd_hist;realized_vol_24h;rsi_14;sma_20,ok,ok,-0.293520,-0.084687,0.552640,36,0.472222,4,5.819,
7f2f7d3e-df22-4ef7-9d7a-6f1733fe5c67,16,cd6f64c42aeb2ed1,volume_divergence_breakout,volume_divergence,close;macd_hist;rsi_14;sma_24;volume_zscore_24h,ok,ok,1.947256,0.135729,0.170884,29,0.758621,4,5.415,
