batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,1,512d56a6c2208a18,momentum_rsi_breakout,momentum,macd_hist;rsi_14,ok,ok,0.102375,-0.013384,0.309146,14,0.428571,4,5.417,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,2,cc1d6b8eb1a3a840,bbands_mean_reversion,mean_reversion,bb_upper_24_2;close;rsi_14;sma_24,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.440,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,3,bd8df6138292f7e3,low_vol_breakout_regime,volatility_regime,close;ema_26;realized_vol_24h;sma_50;volume_zscore_24h,ok,ok,0.620497,0.058067,0.465311,18,0.444444,4,5.385,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,4,4f3eb68101aa3ade,volume_divergence_reversal,volume_divergence,return_24h;rsi_14;volume_zscore_24h,ok,ok,1.279161,0.152509,0.318950,60,0.716667,4,5.481,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,5,be70a34ca81d8b9f,weekday_momentum_fade,calendar_effect,day_of_week;return_24h;rsi_14,ok,ok,-0.165881,0.038340,0.287866,32,0.468750,4,5.325,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,6,f285a4f95e71b4fc,macd_momentum_acceleration,momentum,macd_hist;rsi_14;volume_zscore_24h,ok,ok,-0.976357,-0.132437,0.438699,48,0.291667,4,5.523,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,7,e70d021f56009f63,bollinger_mean_reversion,mean_reversion,bb_upper_24_2;close;rsi_14;sma_24;zscore_48,ok,ok,0.115780,-0.015187,0.257351,90,0.611111,4,5.717,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,8,21ec8692a7ed6dcd,volatility_regime_breakout,volatility_regime,close;realized_vol_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.381,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,9,cc2951778a531f0e,volume_divergence_reversal,volume_divergence,close;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,1.632489,0.195887,0.310634,66,0.606061,4,5.409,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,10,1848161d2ac06479,monday_mean_reversion,calendar_effect,close;day_of_week;return_24h;rsi_14;sma_20;sma_50,ok,ok,-0.093992,-0.047419,0.328716,27,0.444444,4,5.395,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,11,24b4398850c2b5c1,macd_momentum_continuation,momentum,close;macd_hist;rsi_14;sma_20;volume_zscore_24h,ok,ok,0.279928,0.046704,0.362305,53,0.415094,4,5.597,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,12,2e3153889a1727dc,bollinger_bounce_oversold,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.351824,0.101122,0.403482,52,0.557692,4,5.434,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,13,1f30b687318e3738,volatility_expansion_breakout,volatility_regime,close;ema_12;ema_26;macd_hist;realized_vol_24h;volume_zscore_24h,ok,ok,-0.514530,-0.017837,0.128903,1,0.000000,4,5.382,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,14,911e1b00ccd7c836,volume_divergence_momentum_fade,volume_divergence,close;return_24h;rsi_14;sma_20;sma_50;volume_zscore_24h,ok,ok,-0.453419,-0.055563,0.315345,107,0.383178,4,5.425,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,15,5453dfee45656e87,monday_dip_reversal,calendar_effect,close;day_of_week;return_168h;return_24h;rsi_14;sma_50,ok,ok,-0.259339,-0.029680,0.191401,28,0.464286,4,5.403,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,16,990e800e6a111d60,momentum_exhaustion_rsi_divergence,momentum,close;ema_12;macd_hist;return_24h;rsi_14;sma_20,ok,ok,-0.127897,-0.000282,0.135495,28,0.321429,4,5.437,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,17,d9a64d02ee540fee,bb_upper_reversal_vol_spike,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_1h;return_24h;rsi_14;sma_24,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.363,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,18,b7c1aaadcfc35d25,low_vol_breakout_ema_cross,volatility_regime,close;ema_12;ema_26;realized_vol_24h;return_24h;rsi_14;sma_20,ok,ok,0.705905,0.133251,0.367665,110,0.400000,4,5.453,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,19,57ef331140f0776a,volume_surge_breakout_confirmation,volume_divergence,close;return_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,0.726557,0.045664,0.148988,19,0.315789,4,5.374,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,20,5972c4b3e78db6a5,monday_morning_momentum_entry,calendar_effect,close;day_of_week;hour_of_day;return_24h;rsi_14;sma_20,ok,ok,-1.859499,-0.033150,0.127406,9,0.222222,4,5.389,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,21,0c83568d7037d1a3,macd_histogram_surge_momentum,momentum,close;macd_hist;return_1h;return_24h;rsi_14;sma_20,ok,ok,-0.879004,-0.064745,0.357340,77,0.337662,4,5.422,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,22,422ba4e0e2dac8ae,bollinger_oversold_mean_reversion,mean_reversion,close;return_24h;rsi_14;sma_24;zscore_48,ok,ok,1.030378,0.120205,0.252973,77,0.662338,4,5.623,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,23,4f48338d798e2234,low_vol_regime_breakout,volatility_regime,close;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,0.928623,0.082166,0.273596,37,0.297297,4,5.411,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,24,4a9419d1df12fcd1,volume_surge_momentum_breakout,volume_divergence,close;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.874079,-0.058377,0.295857,84,0.404762,4,5.386,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,25,212dd31075955697,monday_morning_contrarian_fade,calendar_effect,day_of_week;hour_of_day;return_168h;return_24h;rsi_14,ok,ok,1.443134,0.034141,0.117238,8,0.750000,4,5.545,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,26,3c00ec4328fb5af7,macd_histogram_momentum_surge,momentum,macd_hist;return_1h;return_24h;rsi_14,ok,ok,-1.102840,-0.091271,0.374103,79,0.354430,4,5.383,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,27,9812acef46760353,bollinger_oversold_mean_reversion,mean_reversion,bb_upper_24_2;close;return_1h;return_24h;rsi_14;zscore_48,ok,ok,-1.430155,-0.062426,0.191789,144,0.395833,4,5.476,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,28,1797418c4817e55f,low_vol_breakout_momentum,volatility_regime,close;realized_vol_24h;return_24h;rsi_14;sma_50,ok,ok,0.844899,0.052216,0.425892,46,0.413043,4,5.568,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,29,29433868dc3c7f0a,volume_divergence_breakout,volume_divergence,close;return_1h;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.408532,-0.028024,0.216069,35,0.485714,4,5.496,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,30,2d08c375c1035eaa,monday_mean_reversion_dip,calendar_effect,day_of_week;return_168h;return_1h;return_24h;rsi_14,ok,ok,0.929976,0.034002,0.200673,24,0.708333,4,5.819,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,31,9031d823621523ee,macd_momentum_reversal_capture,momentum,macd_hist;return_1h;return_24h;rsi_14,ok,ok,0.546444,0.147693,0.475852,90,0.377778,4,6.188,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,32,9ba47c9ef9c4165e,bb_oversold_mean_reversion,mean_reversion,bb_upper_24_2;close;macd_hist;return_1h;return_24h;rsi_14;sma_24;zscore_48,ok,ok,-0.211784,-0.050145,0.282341,69,0.594203,4,5.692,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,33,301d74bc8be99e68,volatility_compression_breakout,volatility_regime,close;macd_hist;realized_vol_24h;return_1h;return_24h;rsi_14;sma_24,ok,ok,0.861691,0.167573,0.433238,44,0.590909,4,6.188,
b6fcbf86-4d57-4d1f-ae41-1778296b1ae9,34,b8ee6bac4bcca6db,volume_divergence_momentum_entry,volume_divergence,macd_hist;return_1h;return_24h;rsi_14;volume_zscore_24h,ok,ok,-0.679800,-0.045265,0.207812,48,0.562500,4,5.872,
